ID,Name,Is_a_Metabolite,Has_a_Metabolite,Route,vd,Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),Solubility,No_of_H-bond_donors,No_of_H-bond_acceptors,Molecular_Weight,LogP,Meets
21,ESTRADIOL ACETATE,,17,VAGINAL ORAL,0,0,0,0,0,0,NaN,0,NaN,1,3,314.425,3.8289,TRUE
22,METHAMPHETAMINE,294,1106,ORAL,242,17.1,12.2,15,67.2,0,NaN,0,NaN,1,1,149.237,1.837,TRUE
23,DICUMAROL,,0,ORAL,0,0,16.5,0,0,0,NaN,0,NaN,2,6,336.299,2.9014,TRUE
24,VITAMIN A,1325,0,INJECTION INTRAVENOUS ORAL,0,0,0,0,0,0,NaN,0,NaN,1,1,286.459,5.5103,FALSE
25,TUBOCURARINE,,0,INJECTION,29.2,13.2,2,42,0,0,NaN,0,NaN,2,7,609.743,6.701,FALSE
26,SULFABENZAMIDE,,0,VAGINAL,0,0,0,0,0,0,NaN,0,NaN,2,4,276.317,1.3875,TRUE
27,SULFACETAMIDE,,0,VAGINAL OPHTHALMIC TOPICAL,0,0,10,0,4,0,NaN,0,NaN,2,4,214.246,0.0936,TRUE
28,SULFATHIAZOLE,,0,VAGINAL,0,0,0,0,0,0,NaN,0,NaN,2,5,255.324,1.5261,TRUE
29,NITROFURAZONE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,2,5,198.138,0.19,TRUE
30,DIPHENHYDRAMINE,,0,ORAL INJECTION,422,38.2,9.3,81,0,207.8,NANOMOLAR,2.5,SOLUBILITY FREELY SOLUBLE IN WATER,0,2,255.361,3.3542,TRUE
31,SILODOSIN,,0,ORAL,49.5,10,13.3,97,32,124.4,NANOMOLAR,2.6,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,3,6,495.542,3.0711,TRUE
32,TRIMETHADIONE,,1773,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,0,3,143.142,0.3736,TRUE
33,FOLIC ACID,105  1853,0,ORAL INJECTION INTRAVENOUS,0,0,0,0,0,0,NaN,0,NaN,4,11,439.388,-2.7142,FALSE
34,TRIPELENNAMINE,,0,ORAL,0,0,4.4,0,0,760.7,NANOMOLAR,0.5,NaN,0,3,255.365,2.6498,TRUE
35,HOMATROPINE METHYLBROMIDE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,1,3,290.383,2.033,TRUE
36,DIHYDROERGOTAMINE,,0,INJECTION NASAL,800,90,9,93,0,7.6,NANOMOLAR,0.38,NaN,3,6,583.689,2.0811,FALSE
37,DIMERCAPROL,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,3,3,124.23,0.2069,TRUE
38,CHLOROQUINE,,0,ORAL INJECTION,9100,16,570,55,0,0.513,MICROMOLAR,0,SOLUBILITY FREELY SOLUBLE IN WATER,1,3,319.88,4.8106,TRUE
39,MEPHENYTOIN,,0,ORAL,97.5,1.17,77,0,0,0,NaN,0,NaN,1,2,218.256,1.4735,TRUE
40,METHYLERGONOVINE,,0,ORAL INJECTION,56.1,14.4,3.39,0,60,9.56,NANOMOLAR,1.12,NaN,3,3,339.439,1.9247,TRUE
41,SULFOXONE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,4,6,404.491,1.7016,TRUE
42,ASCORBIC ACID,,0,INJECTION INTRAVENOUS ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,4,6,176.124,-1.4074,TRUE
43,BIOTIN,,0,INJECTION INTRAVENOUS,0,0,0,0,0,0,NaN,0,NaN,2,4,243.308,-0.5379,TRUE
44,MOMETASONE FUROATE,,605,TOPICAL NASAL INHALATION IMPLANTATION,152,48.7,5.8,98.5,0,218.8,PICOMOLAR,1.75,SOLUBILITY INSOLUBLE IN WATER,1,6,521.437,4.8692,FALSE
45,NIACINAMIDE,,0,INJECTION ORAL INTRAVENOUS,0,0,0,0,0,0,NaN,0,NaN,1,2,122.127,0.1805,TRUE
46,PYRIDOXINE,,0,INJECTION ORAL INTRAVENOUS,0,0,0.5,0,0,192,NANOMOLAR,5.7,NaN,3,4,169.18,0.08022,TRUE
47,THIAMINE,,0,INJECTION INTRAVENOUS,0,0,0,0,0,385,NANOMOLAR,4.14,SOLUBILITY FREELY SOLUBLE IN WATER,2,5,265.362,0.60774,TRUE
48,ALPHA-TOCOPHEROL,1419,0,INJECTION INTRAVENOUS,0,0,0,0,0,0,NaN,0,NaN,1,2,430.717,8.84026,FALSE
49,DIENESTROL,,0,VAGINAL,0,0,0,0,0,0,NaN,0,NaN,2,2,266.34,4.6046,TRUE
50,METHADONE,,0,ORAL INJECTION,286,6.6,31,79,68,2.03,MICROMOLAR,0,SOLUBILITY VERY SOLUBLE IN WATER,0,2,309.453,4.292,TRUE
51,PROPYLTHIOURACIL,,0,ORAL,22.1,12.09,1.3,82,0,105.8,MICROMOLAR,0.75,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,2,2,170.237,1.38499,TRUE
52,DIBUCAINE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,1,4,343.471,3.4853,TRUE
53,HEXACHLOROPHENE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,2,2,406.907,6.609,FALSE
54,DIMERCAPROL,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,3,3,124.23,0.2069,TRUE
55,SULFAMERAZINE,,0,ORAL,0,0,20.3,0,0,0,NaN,0,NaN,2,5,264.31,1.16802,TRUE
56,SULFAMETHAZINE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,2,5,278.337,1.47644,TRUE
57,ISOPROTERENOL,,0,INHALATION RECTAL SUBLINGUAL INJECTION,97.5,218.4,0.41,29,0,0,NaN,0,NaN,4,4,211.261,1.1292,TRUE
58,ISOPROTERENOL,,0,INHALATION RECTAL SUBLINGUAL INJECTION,97.5,218.4,0.41,29,0,0,NaN,0,NaN,4,4,211.261,1.1292,TRUE
59,TOLAZOLINE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,1,2,160.22,1.2308,TRUE
60,DOXYLAMINE,,0,ORAL,0,11.7,12.5,0,0,308,NANOMOLAR,2.5,SOLUBILITY VERY SOLUBLE IN WATER,0,3,270.376,2.9233,TRUE
61,AMODIAQUINE,,1772,ORAL,46200,2380,12.4,0,0,85.8,NANOMOLAR,1.46,NaN,2,4,355.869,5.1792,FALSE
62,DIETHYLCARBAMAZINE,,0,ORAL,533,2,11.4,0,0,3.2,MICROMOLAR,2.7,NaN,0,2,199.298,0.6956,TRUE
63,LIDOCAINE,,0,INJECTION TOPICAL ORAL SPINAL RECTAL IONTOPHORESIS BUCCAL PERIODONTAL INTRADERMAL INTRAMUSCULAR INTRAVENOUS OPHTHALMIC,117,57,1.75,70,0,777,NANOMOLAR,0.5,NaN,1,2,234.343,2.58374,TRUE
64,EPINEPHRINE,498  1160,0,INJECTION INHALATION INTRAMUSCULAR SUBCUTANEOUS IONTOPHORESIS TOPICAL INTRAVENOUS INTRAOCULAR,0,0,0.05,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,4,4,183.207,0.3506,TRUE
65,SULFISOXAZOLE,66,0,ORAL INJECTION OPHTHALMIC,11,1.17,6.2,92,0,682,MICROMOLAR,2.5,NaN,2,5,267.31,1.67444,TRUE
66,SULFISOXAZOLE ACETYL,,65,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,1,6,309.347,1.61544,TRUE
67,SULFANILAMIDE,,0,VAGINAL,0,0,0,0,0,0,NaN,0,NaN,2,3,172.209,-0.0838,TRUE
68,BETHANECHOL,,0,INJECTION ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,1,2,161.225,0.1764,TRUE
69,CAFFEINE,,0,ORAL RECTAL INTRAVENOUS,39,5.4,5,36,0,41.2,MICROMOLAR,1.25,SOLUBILITY SPARINGLY SOLUBLE IN WATER,0,6,194.194,-1.0293,TRUE
70,ERGOTAMINE,,0,ORAL RECTAL INHALATION SUBLINGUAL,120,44,2.25,98,62,3.3,MICROMOLAR,0.5,NaN,3,6,581.673,1.9908,FALSE
71,METOCURINE,,0,INJECTION,30.6,5.7,6,35,0,0,NaN,0,NaN,0,6,652.832,7.4516,FALSE
72,MECHLORETHAMINE,,0,INJECTION TOPICAL,0,0,0,0,0,0,NaN,0,SOLUBILITY VERY SOLUBLE IN WATER,0,1,156.056,1.3958,TRUE
73,METHOXAMINE,,0,INJECTION,0,0,6.15,0,0,74.3,NANOMOLAR,5,NaN,2,4,211.261,1.0844,TRUE
74,TRIHEXYPHENIDYL,,0,ORAL,0,0,3.7,0,0,0,NaN,0,NaN,1,2,301.474,4.3305,TRUE
75,PARAMETHADIONE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,0,3,157.169,0.7637,TRUE
76,AMINOSALICYLIC ACID,78,0,ORAL,51.8,9.42,3.25,55,0,130.7,MICROMOLAR,6,NaN,2,4,152.129,-0.6621,TRUE
77,CHLORPHENIRAMINE,,0,ORAL INJECTION,214.5,9.75,24,30,0,26.2,NANOMOLAR,3.5,NaN,0,2,274.795,3.8186,TRUE
78,PHENYL AMINOSALICYLATE,,76,ORAL,0,0,0,0,0,0,NaN,0,NaN,2,4,229.235,2.1936,TRUE
79,DEXCHLORPHENIRAMINE,,0,ORAL INJECTION,214.5,9.75,24,30,0,26.2,NANOMOLAR,3.5,NaN,0,2,274.795,3.8186,TRUE
80,CROTAMITON,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,0,1,203.285,2.92402,TRUE
81,SULFASALAZINE,,1  1399,ORAL,7.5,1,7.6,99.3,15,15,MICROMOLAR,6,NaN,2,8,397.392,0.4655,TRUE
82,CORTISONE ACETATE,,1771,INJECTION ORAL,,0,0,0,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,1,6,402.487,2.5606,TRUE
83,PROCAINAMIDE,,0,ORAL INJECTION,130,39,3.1,17.5,0,0,NaN,0,NaN,2,3,235.331,1.3404,TRUE
84,ASPIRIN,,1770,ORAL,10,27.7,0.25,32,0,1.77,MICROMOLAR,0,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,0,4,179.151,-0.0246,TRUE
85,OXYCODONE,,0,ORAL,169,48,4.5,45,73.5,312.7,NANOMOLAR,2.1,SOLUBILITY IN WATER 1 GRAM / 6 MILLILITER,1,5,315.369,1.0482,TRUE
86,SECOBARBITAL,,0,INJECTION ORAL RECTAL,97.5,0,28,50,90,0,NaN,3,SOLUBILITY VERY SOLUBLE IN WATER,2,3,238.287,1.3511,TRUE
87,DICYCLOMINE,,0,ORAL INJECTION,237,91.2,1.8,0,0,0,NaN,1.25,SOLUBILITY SOLUBLE IN WATER,0,3,309.494,4.4022,TRUE
88,METHIMAZOLE,,0,ORAL,136,4.6,5.4,0,0,1.3,MICROMOLAR,0.9,SOLUBILITY FREELY SOLUBLE IN WATER,1,2,114.173,1.08269,TRUE
89,QUINIDINE,,0,INJECTION ORAL,162.5,15.6,7,84,70,0,NaN,2,SOLUBILITY SPARINGLY SOLUBLE IN WATER,1,4,324.424,3.1732,TRUE
90,THIAMYLAL,,0,INJECTION,237,17.5,9.3,17.5,0,0,NaN,0,NaN,2,2,254.355,1.9273,TRUE
91,THIAMYLAL,,0,INJECTION,169,9.7,12,11.7,0,0,NaN,0,NaN,2,2,254.355,1.9273,TRUE
92,PHENACEMIDE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,2,2,178.191,0.424,TRUE
93,DYPHYLLINE,,0,ORAL INJECTION,27.3,18.7,2,0,0,67,MICROMOLAR,0,SOLUBILITY FREELY SOLUBLE IN WATER,2,8,254.246,-2.2131,TRUE
94,GALLAMINE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,0,6,423.642,3.8484,TRUE
95,DISULFIRAM,,0,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,0,4,296.552,3.6212,TRUE
96,PROBENECID,,0,ORAL,8.4,0.97,5.9,97,0,0,NaN,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,0,4,284.357,0.8608,TRUE
97,PROMETHAZINE,,0,ORAL INJECTION RECTAL,910,54,14,91,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,0,3,284.428,4.2394,TRUE
98,PHENYLEPHRINE,,0,OPHTHALMIC ORAL INHALATION INTRAVENOUS IRRIGATION,340,2,1.35,0,0,5.2,MILLIMOLAR,0.76,NaN,3,3,167.208,0.645,TRUE
99,HEXYLCAINE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,1,3,261.365,3.1542,TRUE
100,PYRILAMINE,,0,OPHTHALMIC ORAL,0,0,0,0,0,0,NaN,0,NaN,0,4,285.391,2.6584,TRUE
101,EDROPHONIUM,,0,INJECTION,71.5,37.4,1.8,0,0,0,NaN,0,NaN,1,1,166.244,1.979,TRUE
102,BROMODIPHENHYDRAMINE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,0,2,334.257,4.1167,TRUE
103,METHOTREXATE,,0,ORAL INJECTION SUBCUTANEOUS INTRAVENOUS,39,8.2,7.5,50,60,2.3,MICROMOLAR,1.5,NaN,3,12,452.431,-2.401,FALSE
104,CHLOROTRIANISENE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,0,3,380.871,5.8678,FALSE
105,LEUCOVORIN,,33,INJECTION ORAL,16.2,22.6,1.3,91,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,5,11,471.43,-3.4005,FALSE
106,DIPHEMANIL,,0,ORAL,0,0,8.35,0,0,0,NaN,3,NaN,0,0,278.419,4.3587,TRUE
107,MONOBENZONE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,1,2,200.237,2.9712,TRUE
108,HYDROCORTISONE,109  110  111  191  1327  1328,0,ORAL TOPICAL VAGINAL INJECTION OTIC RECTAL OPHTHALMIC,24.7,22.2,1.6,80,0,0,NaN,0,NaN,3,5,362.466,1.7816,TRUE
109,HYDROCORTISONE ACETATE,,108,TOPICAL INJECTION OPHTHALMIC OTIC RECTAL,0,0,0,0,0,0,NaN,0,NaN,2,6,404.503,2.3524,TRUE
110,HYDROCORTISONE VALERATE,,108,TOPICAL,0,0,0,0,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,2,6,446.584,3.5227,TRUE
111,HYDROCORTISONE BUTYRATE,,108,TOPICAL,0,0,0,0,0,0,NaN,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,2,6,432.557,3.1326,TRUE
112,MEPHENTERMINE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,1,1,163.264,2.2271,TRUE
113,HYDRALAZINE,,0,ORAL INJECTION,143,331.5,1,88,18,583,NANOMOLAR,2.5,SOLUBILITY SOLUBLE IN WATER,2,4,160.18,0.9154,TRUE
114,CODEINE,,0,ORAL,292.5,58.5,2.9,16,0,662.2,NANOMOLAR,1,SOLUBILITY SOLUBLE IN WATER,1,4,299.37,1.5011,TRUE
115,PHENYLBUTAZONE,,0,ORAL,10,1.36,79,98.5,0,138,MICROMOLAR,3,NaN,0,2,308.381,3.7878,TRUE
116,METHARBITAL,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,1,3,198.222,0.501,TRUE
117,ISONIAZID,,0,ORAL INJECTION,53.3,24.02,2.8,0,100,22.5,MICROMOLAR,1.5,SOLUBILITY FREELY SOLUBLE IN WATER,2,3,137.142,-0.3149,TRUE
118,SUCCINYLCHOLINE,,0,INJECTION INTRAMUSCULAR INTRAVENOUS,0.14,250.2,0.07,0,0,0,NaN,0,SOLUBILITY VERY SOLUBLE IN WATER,0,4,290.404,0.2654,TRUE
119,HEXYLCAINE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,1,3,261.365,3.1542,TRUE
120,SULFAMETHIZOLE,,0,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,2,6,270.339,1.22952,TRUE
121,PYRIMETHAMINE,,0,ORAL,149.5,0.2,100,90,0,805,NANOMOLAR,4,NaN,2,4,248.717,2.5238,TRUE
122,PROCAINE,,0,INJECTION,51.3,312,0.128,0,0,0,NaN,0,NaN,1,4,236.315,1.7674,TRUE
123,PHENOXYBENZAMINE,,0,ORAL,0,0,24,0,25,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,0,2,303.833,4.1949,TRUE
124,LEVONORDEFRIN,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,4,4,183.207,0.4784,TRUE
125,NITROFURANTOIN,,0,ORAL INJECTION,37,37.8,0.97,83,0,3.67,MICROMOLAR,2.15,NaN,1,6,238.159,0.0735,TRUE
126,PHENOXYBENZAMINE,,0,ORAL,0,0,24,0,25,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,0,2,303.833,4.1949,TRUE
127,LEVORPHANOL,,0,INJECTION ORAL,747.5,61.1,13.5,40,0,0,NaN,1,SOLUBILITY SOLUBLE IN WATER,1,2,257.377,3.0804,TRUE
128,PROPANTHELINE,,0,ORAL INJECTION,0,79.2,1.6,0,0,3.5,MICROMOLAR,1,SOLUBILITY VERY SOLUBLE IN WATER,0,3,368.497,4.7308,TRUE
129,PHENYTOIN,734,0,ORAL INJECTION,0,0,22,88,0,0,NaN,1.5,NaN,2,2,252.273,1.7696,TRUE
130,CARBINOXAMINE,,0,ORAL,0,0,17,0,0,98.8,NANOMOLAR,6.7,SOLUBILITY FREELY SOLUBLE IN WATER,0,3,290.794,3.4026,TRUE
131,PHENINDIONE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,0,2,222.243,2.8494,TRUE
132,METHSCOPOLAMINE,,0,ORAL,0,0,0,0,17,0,NaN,1,SOLUBILITY FREELY SOLUBLE IN WATER,1,4,318.393,1.0627,TRUE
133,PHENSUXIMIDE,,0,ORAL,0,0,7.8,0,0,0,NaN,0,NaN,0,2,189.214,1.1589,TRUE
134,PROPARACAINE,,0,OPHTHALMIC,0,0,0,0,0,0,NaN,0,NaN,1,5,294.395,2.5562,TRUE
135,CARBINOXAMINE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,0,3,290.794,3.4026,TRUE
136,ACETAZOLAMIDE,,0,ORAL INJECTION,13,1.1,3.5,93,100,0,NaN,4.5,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,2,6,222.251,-0.8561,TRUE
137,CYCRIMINE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,1,2,287.447,3.9404,TRUE
138,METHOXSALEN,,0,ORAL TOPICAL INJECTION,325,345,2,0,0,1.15,MICROMOLAR,1.8,NaN,0,4,216.192,2.5478,TRUE
139,MERCAPTOPURINE,372,0,ORAL,65,58.5,1,15,0,0,NaN,0,NaN,2,3,152.182,1.01549,TRUE
140,ETHOPROPAZINE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,0,3,312.482,5.0196,FALSE
141,RESERPINE,,0,ORAL INJECTION,0,0,200,95,50,1.8,NANOMOLAR,2.5,SOLUBILITY INSOLUBLE IN WATER,1,10,608.688,4.1711,FALSE
142,CHLORPROMAZINE,,0,ORAL INJECTION RECTAL,1215,76.6,11.05,94.4,21,0,NaN,0,NaN,0,3,318.873,4.8944,TRUE
143,TESTOSTERONE,144  1334  1335  1718  1825,0,TRANSDERMAL BUCCAL IMPLANTATION INJECTION NASAL,65,62.4,192,98,0,31.4,NANOMOLAR,8,NaN,1,2,288.431,3.8792,TRUE
144,TESTOSTERONE PROPIONATE,,143,INJECTION,0,0,0,0,0,0,NaN,0,NaN,0,3,344.495,4.8401,TRUE
145,HYDROXYSTILBAMIDINE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,4,3,281.339,-2.4418,TRUE
146,PRIMIDONE,,0,ORAL,0,0,0,0,70,0,NaN,4,SOLUBILITY POORLY SOLUBLE IN WATER,2,2,218.256,0.5379,TRUE
147,WARFARIN,,0,ORAL INJECTION,8.4,0.21,29,98,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,1,4,308.333,3.6096,TRUE
148,PROGESTERONE,,0,INJECTION INTRAUTERINE ORAL VAGINAL,5252,104.6,34.8,97,0,193,NANOMOLAR,1.7,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,0,2,314.469,4.7235,TRUE
149,OXTRIPHYLLINE,,0,ORAL,0,0,0,0,90,0,NaN,0,NaN,0,5,179.159,-1.4106,TRUE
150,DESLANOSIDE,,0,INJECTION,0,0,51,0,0,0,NaN,0,NaN,9,19,943.09,0.0423,FALSE
151,TRIDIHEXETHYL,,0,ORAL INJECTION,0,0,0,0,0,0,NaN,0,NaN,1,1,318.525,4.7211,TRUE
152,DIGOXIN,,0,INJECTION ORAL,266,6.6,42,25,70,0,NaN,2,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,6,14,780.949,2.2181,FALSE
153,BETAZOLE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,2,2,111.148,-0.0891,TRUE
154,PENTOLINIUM,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,0,0,240.435,2.6375,TRUE
155,BUSULFAN,,0,ORAL INJECTION,41.6,9.8,3.4,32.4,0,4.9,MICROMOLAR,0,SOLUBILITY 0.1 GRAM / LITER,0,6,246.306,-0.281,TRUE
156,TALBUTAL,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,2,3,224.26,0.961,TRUE
157,CHLOROPROCAINE,,0,INJECTION INTRATHECAL OPHTHALMIC,0,0,0,0,0,0,NaN,0.15,NaN,1,4,270.76,2.4208,TRUE
158,ACETYLDIGITOXIN,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,4,14,806.987,3.8181,FALSE
159,TRIDIHEXETHYL,,0,ORAL INJECTION,0,0,0,0,0,0,NaN,0,NaN,1,1,318.525,4.7211,TRUE
160,METARAMINOL,,0,INJECTION,0,0,0,0,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,3,3,167.208,0.7728,TRUE
161,GLUTETHIMIDE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,1,2,217.268,1.771,TRUE
162,HYDROXYCHLOROQUINE,,0,ORAL,2851,12,172.3,43,0,1.2,MICROMOLAR,2.4,SOLUBILITY SOLUBLE IN WATER,2,4,335.879,3.783,TRUE
163,METHYPRYLON,,0,ORAL,63,0.77,9.2,0,0,0,NaN,0,NaN,1,2,183.251,1.1278,TRUE
164,MEPROBAMATE,254  255,0,ORAL,45.5,2.34,9.6,0,0,11.4,MICROMOLAR,4.5,NaN,2,4,218.253,0.9834,TRUE
165,ETHINAMATE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,1,2,167.208,1.4178,TRUE
166,PREDNISONE,,0,ORAL,37,11,2.6,73,0,801,NANOMOLAR,2.2,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,2,5,358.434,1.7658,TRUE
167,HYDROXYCHLOROQUINE,,0,ORAL,2851,12,172.3,43,0,1.2,MICROMOLAR,2.4,SOLUBILITY SOLUBLE IN WATER,2,4,335.879,3.783,TRUE
168,PROCYCLIDINE,,0,ORAL,48,3.3,12,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,1,2,287.447,3.9404,TRUE
169,PYRIDOSTIGMINE,,0,ORAL INJECTION,19,49.8,3,0,15,0,NaN,2.2,NaN,0,2,181.215,0.5715,TRUE
170,DYCLONINE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,0,3,289.419,3.9242,TRUE
171,PREDNISOLONE,172  1337,0,ORAL TOPICAL OPHTHALMIC OTIC INJECTION,29.9,11.3,2.5,80,0,1.28,MICROMOLAR,1.5,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,3,5,360.45,1.5576,TRUE
172,PREDNISOLONE ACETATE,,171,OPHTHALMIC INJECTION ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,2,6,402.487,2.1284,TRUE
173,RIBOFLAVIN,1324,0,INJECTION INTRAVENOUS,39.6,29.3,0.93,35.5,0,1.2,MICROMOLAR,2,NaN,5,9,376.369,-1.72356,TRUE
