ID,Name,Route,Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Tmax(hour),Molecular_Weight,LogP,MolMR,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,TPSA,FractionCSP3,LabuteASA,NumAmideBonds,vd
131,PHENINDIONE,ORAL,0,0,0,0,0,0,222.243,2.8494,64.286,17,212.163,0,2,2,0,2,1,82,34.14,0.066666667,98.90053672,0,0
132,METHSCOPOLAMINE,ORAL,0,0,0,17,0,1,318.393,1.0627,83.7282,23,294.201,1,5,4,1,5,4,124,59.06,0.611111111,135.9458665,0,0
133,PHENSUXIMIDE,ORAL,0,7.8,0,0,0,0,189.214,1.1589,51.577,14,178.126,0,3,2,0,3,1,72,37.38,0.272727273,82.33316041,2,0
135,CARBINOXAMINE,ORAL,0,0,0,0,0,0,290.794,3.4026,82.038,20,271.642,0,3,3,0,4,6,106,25.36,0.3125,124.709501,0,0
136,ACETAZOLAMIDE,ORAL INJECTION,1.1,3.5,93,100,0,4.5,222.251,-0.8561,45.5859,13,216.203,3,7,6,3,9,2,72,115.04,0.25,78.02145102,1,13
137,CYCRIMINE,ORAL,0,0,0,0,0,0,287.447,3.9404,87.2048,21,258.215,1,2,2,1,2,5,116,23.47,0.684210526,128.7180557,0,0
139,MERCAPTOPURINE,ORAL,58.5,1,15,0,0,0,152.182,1.01549,39.0734,10,148.15,2,4,3,2,5,0,50,57.36,0,61.33995226,0,65
140,ETHOPROPAZINE,ORAL,0,0,0,0,0,0,312.482,5.0196,96.396,22,288.29,0,2,3,0,3,5,116,6.48,0.368421053,137.6800383,0,0
141,RESERPINE,ORAL INJECTION,0,200,95,50,1.8,2.5,608.688,4.1711,160.6872,44,568.368,1,11,10,1,11,8,236,117.78,0.515151515,256.1734235,0,0
146,PRIMIDONE,ORAL,0,0,0,70,0,4,218.256,0.5379,59.5634,16,204.144,2,4,2,2,4,2,84,58.2,0.333333333,94.03799322,2,0
147,WARFARIN,ORAL INJECTION,0.21,29,98,0,0,0,308.333,3.6096,87.7318,23,292.205,1,4,4,1,4,4,116,67.51,0.157894737,132.5520251,0,8.4
149,OXTRIPHYLLINE,ORAL,0,0,0,90,0,0,179.159,-1.4106,45.545,13,172.103,0,6,5,0,6,0,68,70.99,0.285714286,72.45404342,0,0
151,TRIDIHEXETHYL,ORAL INJECTION,0,0,0,0,0,0,318.525,4.7211,98.2812,23,282.237,1,2,1,1,2,8,130,20.23,0.714285714,142.6637426,0,0
155,BUSULFAN,ORAL INJECTION,9.8,3.4,32.4,0,4.9,0,246.306,-0.281,50.8256,14,232.194,0,6,6,0,8,7,86,86.74,1,84.45985657,0,41.6
156,TALBUTAL,ORAL,0,0,0,0,0,0,224.26,0.961,58.3834,16,208.132,2,5,3,2,5,4,88,75.27,0.545454545,94.27752865,4,0
158,ACETYLDIGITOXIN,ORAL,0,0,0,0,0,0,806.987,3.8181,200.7682,57,740.459,4,14,14,4,14,8,322,188.9,0.906976744,335.7389086,0,0
159,TRIDIHEXETHYL,ORAL INJECTION,0,0,0,0,0,0,318.525,4.7211,98.2812,23,282.237,1,2,1,1,2,8,130,20.23,0.714285714,142.6637426,0,0
161,GLUTETHIMIDE,ORAL,0,0,0,0,0,0,217.268,1.771,60.7947,16,202.148,1,3,2,1,3,2,84,46.17,0.384615385,94.85307315,2,0
162,HYDROXYCHLOROQUINE,ORAL,12,172.3,43,0,1.2,2.4,335.879,3.783,98.2715,23,309.671,2,4,4,2,5,9,126,48.39,0.5,143.0243905,0,2851
163,METHYPRYLON,ORAL,0.77,9.2,0,0,0,0,183.251,1.1278,50.1957,13,166.115,1,3,2,1,3,2,74,46.17,0.8,78.89080529,1,63
164,MEPROBAMATE,ORAL,2.34,9.6,0,0,11.4,4.5,218.253,0.9834,54.0858,15,200.109,4,6,4,4,6,6,88,104.64,0.777777778,88.888704,2,45.5
165,ETHINAMATE,ORAL,0,0,0,0,0,0,167.208,1.4178,45.3174,12,154.104,2,3,2,2,3,1,66,52.32,0.666666667,72.26714021,1,0
166,PREDNISONE,ORAL,11,2.6,73,0,801,2.2,358.434,1.7658,94.0486,26,332.226,2,5,5,2,5,2,140,91.67,0.666666667,152.7085964,0,37
167,HYDROXYCHLOROQUINE,ORAL,12,172.3,43,0,1.2,2.4,335.879,3.783,98.2715,23,309.671,2,4,4,2,5,9,126,48.39,0.5,143.0243905,0,2851
168,PROCYCLIDINE,ORAL,3.3,12,0,0,0,0,287.447,3.9404,87.2048,21,258.215,1,2,2,1,2,5,116,23.47,0.684210526,128.7180557,0,48
169,PYRIDOSTIGMINE,ORAL INJECTION,49.8,3,0,15,0,2.2,181.215,0.5715,47.329,13,168.111,0,4,2,0,4,1,70,33.42,0.333333333,77.35569204,1,19
174,ETHCHLORVYNOL,ORAL,0,0,0,0,0,0,144.601,1.5132,39.0668,9,135.529,1,1,1,1,2,2,50,20.23,0.428571429,60.33602605,0,0
175,FLUDROCORTISONE ACETATE,ORAL,0,0,0,0,0,0,422.493,2.4445,105.0386,30,391.245,2,6,6,2,7,3,166,100.9,0.782608696,175.4071643,0,0
179,AMBENONIUM,ORAL,0,0,0,0,1.51,0,537.576,4.6392,148.7502,36,495.24,2,6,2,2,8,14,198,58.2,0.5,226.2964825,2,16.6
181,MECAMYLAMINE,ORAL,0,0,0,0,0,0,167.296,2.4206,52.0767,12,146.128,1,1,1,1,1,1,70,12.03,1,75.92687205,0,0
183,PROMAZINE,ORAL INJECTION,54.6,7.9,89,0,0,0,284.428,4.241,87.184,20,264.268,0,2,3,0,3,4,104,6.48,0.294117647,124.9501541,0,526.5
184,CLIDINIUM,ORAL,0,0,0,0,0,0,352.454,2.7045,99.2722,26,326.246,1,4,3,1,4,4,136,46.53,0.409090909,154.1653624,0,0
185,LIOTHYRONINE,ORAL INJECTION,0,60,0,95,0,0,649.968,2.618,109.4602,23,638.88,3,5,5,3,8,5,122,95.61,0.133333333,173.5722636,0,0
186,HYDROXYZINE,ORAL INJECTION,39,16.5,0,0,186.9,2,374.912,3.0559,105.6548,26,347.696,1,4,4,1,5,8,140,35.94,0.428571429,160.4978578,0,1040
187,METHSUXIMIDE,ORAL,0,1.4,0,0,0,0,203.241,1.333,56.188,15,190.137,0,3,2,0,3,1,78,37.38,0.333333333,88.69810252,2,0
189,PHENMETRAZINE,ORAL,0,0,0,0,0,0,177.247,1.736,52.5997,13,162.127,1,2,2,1,2,1,70,21.26,0.454545455,78.91368995,0,0
193,ORPHENADRINE,ORAL INJECTION,0,16.6,0,0,0,0,269.388,3.66262,83.97,20,246.204,0,2,2,0,2,6,106,12.47,0.333333333,121.5515289,0,0
194,METHSUXIMIDE,ORAL,0,1.4,0,0,0,0,203.241,1.333,56.188,15,190.137,0,3,2,0,3,1,78,37.38,0.333333333,88.69810252,2,0
195,FLUOXYMESTERONE,ORAL,0,9.2,98,0,0,0,336.447,3.3322,89.0726,24,307.215,2,3,3,2,4,0,134,57.53,0.85,142.8757486,0,0
196,ORPHENADRINE,ORAL INJECTION,0,16.6,0,0,0,0,269.388,3.66262,83.97,20,246.204,0,2,2,0,2,6,106,12.47,0.333333333,121.5515289,0,0
197,MECLIZINE,ORAL,59,5.5,0,0,235.6,3,390.958,5.55562,117.766,28,363.742,0,2,2,0,3,5,144,6.48,0.28,172.9172887,0,0
199,CHLORAMBUCIL,ORAL,10.9,1.3,99,0,1.6,0.83,303.209,2.0432,78.04,19,285.065,0,3,3,0,5,9,106,43.37,0.5,123.673062,0,20.15
200,TOLBUTAMIDE,ORAL INJECTION,0.819,7,95,0,217.7,3.8,270.354,1.78302,69.8072,18,252.21,2,5,3,2,6,5,100,75.27,0.416666667,107.6430782,2,7.8
201,MEPENZOLATE,ORAL,0,0,0,0,0,0,340.443,2.7045,96.8392,25,314.235,1,4,3,1,4,4,132,46.53,0.380952381,148.8062514,0,0
202,RESCINNAMINE,ORAL,0,0,0,0,0,0,634.726,4.5707,170.3977,46,592.39,1,11,10,1,11,9,246,117.78,0.485714286,268.2137047,0,0
203,MECLIZINE,ORAL,59,5.5,0,0,235.6,3,390.958,5.55562,117.766,28,363.742,0,2,2,0,3,5,144,6.48,0.28,172.9172887,0,0
204,ISOPROPAMIDE,ORAL,0,0,0,0,0,0,353.53,4.1115,108.7988,26,320.266,2,3,1,2,3,8,140,43.09,0.434782609,157.9740785,1,0
205,PERPHENAZINE,ORAL INJECTION,105.3,10.5,93,0,2.4,2,403.979,3.9427,113.6058,27,377.771,1,4,5,1,6,6,144,29.95,0.428571429,170.2614251,0,1170
206,DESERPIDINE,ORAL,0,0,0,0,0,0,578.662,4.1625,154.1352,42,540.358,1,10,9,1,10,7,224,108.55,0.5,244.6949361,0,0
207,DEXBROMPHENIRAMINE,ORAL INJECTION,0,25,72,0,0,5,319.246,3.9277,83.393,19,300.094,0,2,2,0,3,5,100,16.13,0.3125,123.1602372,0,0
208,ETHOTOIN,ORAL,0,6,0,0,39,0,204.229,1.2994,55.1017,15,192.133,1,4,2,1,4,2,78,49.41,0.272727273,87.88302259,3,0
209,NORETHINDRONE,ORAL,26,8.51,61,64,87.8,1.83,298.426,3.4925,85.8758,22,272.218,1,2,2,1,2,0,118,37.3,0.75,132.9152048,0,260
211,ANISINDIONE,ORAL,0,0,0,0,0,0,252.269,2.858,70.838,19,240.173,0,3,3,0,3,2,94,43.37,0.125,110.3790241,0,0
212,BUCLIZINE,ORAL,0,0,0,0,0,0,433.039,6.5447,131.729,31,399.775,0,2,2,0,3,5,162,6.48,0.357142857,192.0121151,0,0
213,MESTRANOL,ORAL,0,0,0,0,0,0,310.437,3.9156,91.3938,23,284.229,1,2,2,1,2,1,122,29.46,0.619047619,138.7950457,0,0
214,NORETHYNODREL,ORAL,0,0,0,0,0,0,298.426,3.6366,85.9458,22,272.218,1,2,2,1,2,0,118,37.3,0.75,132.9152048,0,0
215,PROPOXYPHENE,ORAL,58.5,9,80,0,0.21,2.25,339.479,4.2755,102.367,25,310.247,0,3,3,0,3,8,134,29.54,0.409090909,151.1728195,0,780
217,ETHOXZOLAMIDE,ORAL,0,0,0,0,0,0,258.324,1.3424,62.1622,16,248.244,2,5,5,2,7,3,86,82.28,0.222222222,96.91717495,0,0
218,NIACIN,ORAL,0,0.56,20,0,146.3,5,122.103,-0.5549,28.5675,9,118.071,0,3,3,0,3,1,46,53.02,0,51.97174907,0,0
219,TRIPROLIDINE,ORAL,0,2.1,0,0,55.4,2,278.399,3.91752,88.169,21,256.223,0,2,2,0,2,4,108,16.13,0.315789474,126.6920817,0,0
220,TRIFLUPROMAZINE,ORAL INJECTION,0,0,0,0,0,0,352.425,5.2598,92.186,24,333.273,0,2,3,0,6,4,128,6.48,0.333333333,143.8117024,0,0
221,CHLOROTHIAZIDE,ORAL INJECTION,0,2,0,0,0,0,295.729,0.1299,62.1257,17,289.681,3,7,5,3,10,1,92,118.69,0,102.4004075,0,0
224,TRIAMCINOLONE,ORAL,0,2.7,0,0,0,1.9,394.439,0.6205,96.7872,28,367.223,4,6,6,4,7,2,154,115.06,0.714285714,162.3010772,0,0
227,BENZONATATE,ORAL,0,0,0,0,0,0.28,603.75,2.8346,158.5502,42,550.326,1,12,12,1,12,32,244,121.4,0.766666667,251.0368504,0,0
228,PHENPROCOUMON,ORAL,0,140,0,0,0,0,280.323,4.0405,82.7248,21,264.195,1,3,3,1,3,3,106,50.44,0.166666667,122.0255609,0,0
229,DEXTROMETHORPHAN,ORAL,0,13,65,0,0,3.5,271.404,3.3834,81.369,20,246.204,0,2,2,0,2,1,108,12.47,0.666666667,121.6665939,0,0
230,CHLORMEZANONE,ORAL,0.06,40.5,0,0,16.9,2.18,273.741,1.6155,65.3668,17,261.645,0,4,3,0,6,1,92,54.45,0.363636364,105.1003029,1,3.5
231,FURAZOLIDONE,ORAL,0,0,0,0,0,0,225.16,0.9739,51.0104,16,218.104,0,8,6,0,8,3,84,98.18,0.25,89.23300492,1,0
232,CHLORZOXAZONE,ORAL,0,0,0,0,0,1.5,169.567,1.7745,41.8447,11,165.535,1,3,2,1,4,0,56,46,0,66.59183322,0,0
233,TRIMEPRAZINE,ORAL,0,0,90,80,0,0,298.455,4.487,91.731,21,276.279,0,2,3,0,3,4,110,6.48,0.333333333,131.3150962,0,0
235,DICHLORPHENAMIDE,ORAL,0,0,0,0,0,0,305.164,0.2882,59.2084,16,299.116,4,6,4,4,10,2,90,120.32,0,102.2392688,0,0
236,CHLORMEZANONE,ORAL,0.06,40.5,0,0,16.9,2.18,273.741,1.6155,65.3668,17,261.645,0,4,3,0,6,1,92,54.45,0.363636364,105.1003029,1,3.5
237,TRIFLUOPERAZINE,ORAL INJECTION,0,0,0,0,0,0,407.505,4.9456,107.569,28,383.313,0,3,4,0,7,4,150,9.72,0.428571429,167.6605313,0,0
238,SULFINPYRAZONE,ORAL,1.32,6.2,98,0,0,0,404.491,3.7955,113.6804,29,384.331,0,5,3,0,6,6,146,57.69,0.130434783,171.5515727,2,7.8
240,OXYPHENCYCLIMINE,ORAL,0,0,0,0,0,0,344.455,2.7317,97.4218,25,316.231,1,5,5,1,5,5,136,62.13,0.6,149.2533877,0,
241,PHENTERMINE,ORAL,8.79,20,17.5,0,0,3.7,149.237,1.9664,48.4124,11,134.117,2,1,1,2,1,2,60,26.02,0.4,68.23106227,0,348
242,CHLORPROPAMIDE,ORAL,0.17,36,97,0,0,3,276.745,1.7379,65.4632,17,263.641,2,5,3,2,7,4,94,75.27,0.3,105.2164602,2,12.3
246,DIETHYLPROPION,ORAL,0,0,0,0,0,0,205.301,2.5996,63.1555,15,186.149,0,2,2,0,2,5,82,20.31,0.461538462,91.90735369,0,0
249,PHENYLPROPANOLAMINE,ORAL,37,4.05,0,0,1.5,1.47,151.209,1.0672,45.0512,11,138.105,3,2,2,3,2,2,60,46.25,0.333333333,66.66035391,0,206.7
251,METHAZOLAMIDE,ORAL,0.99,14,55,0,45.3,1.5,236.278,-1.4238,48.7022,14,228.214,2,7,6,2,9,1,78,107.41,0.4,83.94182493,1,20
253,FLUPHENAZINE,ORAL INJECTION,0,16.4,0,0,0,0,437.531,4.3081,113.5978,30,411.323,1,4,5,1,8,6,162,29.95,0.454545455,178.8197072,0,0
254,CARISOPRODOL,ORAL,0,2,0,0,6.92,1.7,260.334,2.0227,68.1701,18,236.142,3,6,4,3,6,7,106,90.65,0.833333333,108.1935018,2,0
255,CARISOPRODOL,ORAL,0,2,0,0,6.92,1.7,260.334,2.0227,68.1701,18,236.142,3,6,4,3,6,7,106,90.65,0.833333333,108.1935018,2,0
256,HYDROCHLOROTHIAZIDE,ORAL,23,4.5,67.9,0,454.2,1.5,297.745,-0.3513,61.6364,17,289.681,4,7,5,4,10,1,94,118.36,0.142857143,103.0549472,0,370.5
257,THIORIDAZINE,ORAL,0,15,0,0,0.55,0,370.587,5.8856,110.68,25,344.379,0,2,4,0,4,4,132,6.48,0.428571429,159.5272014,0,0
258,IMIPRAMINE,ORAL INJECTION,50.7,16,92.5,0,0,0,280.415,3.875,90.469,21,256.223,0,2,2,0,2,4,110,6.48,0.368421053,127.5569283,0,828
259,METHDILAZINE,ORAL,0,0,0,0,0,0,296.439,4.241,89.617,21,276.279,0,2,3,0,3,2,108,6.48,0.333333333,130.3092651,0,0
263,PHENELZINE,ORAL,0,11.6,0,0,145.5,0.71,136.198,0.6924,42.3361,10,124.102,3,2,2,3,2,3,54,38.05,0.25,61.02117625,0,0
264,DIPHENYLPYRALINE,ORAL,0,0,0,0,0,0,281.399,3.8868,86.331,21,258.215,0,2,2,0,2,4,110,12.47,0.368421053,126.9106399,0,0
265,HYDROFLUMETHIAZIDE,ORAL,37.8,5.2,0,0,0,0,331.297,0.0141,61.6284,20,323.233,4,7,5,4,12,1,112,118.36,0.25,111.6132293,0,143
266,METHDILAZINE,ORAL,0,0,0,0,0,0,296.439,4.241,89.617,21,276.279,0,2,3,0,3,2,108,6.48,0.333333333,130.3092651,0,0
267,ISOCARBOXAZID,ORAL,0,0,0,0,0,0,231.255,1.41762,61.9879,17,218.151,2,5,4,2,5,4,88,67.16,0.166666667,98.78003971,1,0
269,PYRVINIUM,ORAL,0,0,0,0,0,0,382.531,5.30824,123.622,29,354.307,0,3,2,0,3,4,146,12.05,0.192307692,172.7008329,0,0
270,BIPERIDEN,ORAL INJECTION,46.8,24,90,0,16,1.25,311.469,3.9624,94.0908,23,282.237,1,2,2,1,2,5,124,23.47,0.619047619,139.7525058,0,780
272,ISOSORBIDE MONONITRATE,ORAL,7,5,0,100,6.5,0,191.139,-1.2782,37.3542,13,182.067,1,7,6,1,7,2,74,91.06,1,73.29418296,0,42.2
275,CHLOPHEDIANOL,ORAL,0,0,0,0,0,0,289.806,3.5276,84.0638,20,269.646,1,2,2,1,3,5,106,23.47,0.294117647,125.1705415,0,
276,BENZTHIAZIDE,ORAL,0,0,0,0,0,0,431.948,2.4335,103.6727,26,417.836,3,7,6,3,11,5,138,118.69,0.133333333,160.3104959,0,0
