ID,Name,Is_a_Metabolite,Has_a_Metabolite,Route,vd,Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),Solubility,Molecular_Weight,LogP,MolMR,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,TPSA,FractionCSP3,LabuteASA,NumAmideBonds
44,MOMETASONE FUROATE,,605,TOPICAL NASAL INHALATION IMPLANTATION,152,48.7,5.8,98.5,0,218.8,PICOMOLAR,1.75,SOLUBILITY INSOLUBLE IN WATER,521.437,4.8692,130.2283,35,491.197,1,6,6,1,8,4,188,93.81,0.592592593,214.2157481,0
45,NIACINAMIDE,,0,INJECTION ORAL INTRAVENOUS,0,0,0,0,0,0,NaN,0,NaN,122.127,0.1805,32.7549,9,116.079,2,3,2,2,3,1,46,55.98,0,52.51740601,1
46,PYRIDOXINE,,0,INJECTION ORAL INTRAVENOUS,0,0,0.5,0,0,192,NANOMOLAR,5.7,NaN,169.18,0.08022,42.4844,12,158.092,3,4,4,3,4,2,66,73.58,0.375,70.1285787,0
47,THIAMINE,,0,INJECTION INTRAVENOUS,0,0,0,0,0,385,NANOMOLAR,4.14,SOLUBILITY FREELY SOLUBLE IN WATER,265.362,0.60774,70.3242,18,248.226,3,5,5,3,6,4,96,75.91,0.416666667,109.956611,0
48,ALPHA-TOCOPHEROL,1419,0,INJECTION INTRAVENOUS,0,0,0,0,0,0,NaN,0,NaN,430.717,8.84026,134.3908,31,380.317,1,2,2,1,2,12,178,29.46,0.793103448,192.7270196,0
49,DIENESTROL,,0,VAGINAL,0,0,0,0,0,0,NaN,0,NaN,266.34,4.6046,83.5156,20,248.196,2,2,2,2,2,3,102,40.46,0.111111111,118.8874115,0
50,METHADONE,,0,ORAL INJECTION,286,6.6,31,79,68,2.03,MICROMOLAR,0,SOLUBILITY VERY SOLUBLE IN WATER,309.453,4.292,96.728,23,282.237,0,2,2,0,2,7,122,20.31,0.380952381,139.6943321,0
51,PROPYLTHIOURACIL,,0,ORAL,22.1,12.09,1.3,82,0,105.8,MICROMOLAR,0.75,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,170.237,1.38499,46.2424,11,160.157,2,3,2,2,4,2,60,48.65,0.428571429,69.48582777,0
52,DIBUCAINE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,343.471,3.4853,102.2672,25,314.239,1,5,4,1,5,10,136,54.46,0.5,149.9318421,1
53,HEXACHLOROPHENE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,406.907,6.609,89.0796,21,400.859,2,2,2,2,8,2,112,40.46,0.076923077,150.2615043,0
54,DIMERCAPROL,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,124.23,0.2069,33.7128,6,116.166,1,1,3,1,3,2,38,20.23,1,48.57350234,0
55,SULFAMERAZINE,,0,ORAL,0,0,20.3,0,0,0,NaN,0,NaN,264.31,1.16802,68.4319,18,252.214,3,6,5,3,7,3,94,97.97,0.090909091,104.9432642,0
56,SULFAMETHAZINE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,278.337,1.47644,73.1689,19,264.225,3,6,5,3,7,3,100,97.97,0.166666667,111.3082063,0
57,ISOPROTERENOL,,0,INHALATION RECTAL SUBLINGUAL INJECTION,97.5,218.4,0.41,29,0,0,NaN,0,NaN,211.261,1.1292,57.8701,15,194.125,4,4,4,4,4,4,84,72.72,0.454545455,89.18867713,0
58,ISOPROTERENOL,,0,INHALATION RECTAL SUBLINGUAL INJECTION,97.5,218.4,0.41,29,0,0,NaN,0,NaN,211.261,1.1292,57.8701,15,194.125,4,4,4,4,4,4,84,72.72,0.454545455,89.18867713,0
59,TOLAZOLINE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,160.22,1.2308,50.4507,12,148.124,1,2,2,1,2,2,62,24.39,0.3,72.33052509,0
60,DOXYLAMINE,,0,ORAL,0,11.7,12.5,0,0,308,NANOMOLAR,2.5,SOLUBILITY VERY SOLUBLE IN WATER,270.376,2.9233,81.639,20,248.2,0,3,3,0,3,6,106,25.36,0.352941176,120.7711769,0
61,AMODIAQUINE,,1772,ORAL,46200,2380,12.4,0,0,85.8,NANOMOLAR,1.46,NaN,355.869,5.1792,104.7675,25,333.693,2,4,4,2,5,6,130,48.39,0.25,152.6217162,0
62,DIETHYLCARBAMAZINE,,0,ORAL,533,2,11.4,0,0,3.2,MICROMOLAR,2.7,NaN,199.298,0.6956,57.387,14,178.13,0,4,2,0,4,2,82,26.79,0.9,86.45892201,2
63,LIDOCAINE,,0,INJECTION TOPICAL ORAL SPINAL RECTAL IONTOPHORESIS BUCCAL PERIODONTAL INTRADERMAL INTRAMUSCULAR INTRAVENOUS OPHTHALMIC,117,57,1.75,70,0,777,NANOMOLAR,0.5,NaN,234.343,2.58374,72.3337,17,212.167,1,3,2,1,3,5,94,32.34,0.5,103.822158,1
64,EPINEPHRINE,498  1160,0,INJECTION INHALATION INTRAMUSCULAR SUBCUTANEOUS IONTOPHORESIS TOPICAL INTRAVENOUS INTRAOCULAR,0,0,0.05,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,183.207,0.3506,48.6581,13,170.103,4,4,4,4,4,3,72,72.72,0.333333333,76.4587929,0
65,SULFISOXAZOLE,66,0,ORAL INJECTION OPHTHALMIC,11,1.17,6.2,92,0,682,MICROMOLAR,2.5,NaN,267.31,1.67444,67.6399,18,254.206,3,6,5,3,7,3,96,98.22,0.181818182,104.8342439,0
66,SULFISOXAZOLE ACETYL,,65,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,309.347,1.61544,77.1772,21,294.227,2,7,6,2,8,3,112,106.5,0.230769231,121.9356217,1
67,SULFANILAMIDE,,0,VAGINAL,0,0,0,0,0,0,NaN,0,NaN,172.209,-0.0838,42.2276,11,164.145,4,4,3,4,5,1,60,86.18,0,64.87196041,0
68,BETHANECHOL,,0,INJECTION ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,161.225,0.1764,43.0298,11,144.089,2,4,2,2,4,3,66,52.32,0.857142857,67.5136669,1
69,CAFFEINE,,0,ORAL RECTAL INTRAVENOUS,39,5.4,5,36,0,41.2,MICROMOLAR,1.25,SOLUBILITY SPARINGLY SOLUBLE IN WATER,194.194,-1.0293,51.196,14,184.114,0,6,6,0,6,0,74,61.82,0.375,79.02895702,0
70,ERGOTAMINE,,0,ORAL RECTAL INHALATION SUBLINGUAL,120,44,2.25,98,62,3.3,MICROMOLAR,0.5,NaN,581.673,1.9908,157.9852,43,546.393,3,10,6,3,10,4,222,118.21,0.424242424,248.8161721,3
71,METOCURINE,,0,INJECTION,30.6,5.7,6,35,0,0,NaN,0,NaN,652.832,7.4516,186.3728,48,604.448,0,8,6,0,8,4,252,55.38,0.4,284.0451478,0
72,MECHLORETHAMINE,,0,INJECTION TOPICAL,0,0,0,0,0,0,NaN,0,SOLUBILITY VERY SOLUBLE IN WATER,156.056,1.3958,38.937,8,144.968,0,1,1,0,3,4,50,3.24,1,60.56538561,0
73,METHOXAMINE,,0,INJECTION,0,0,6.15,0,0,74.3,NANOMOLAR,5,NaN,211.261,1.0844,58.1552,15,194.125,3,4,4,3,4,4,84,64.71,0.454545455,89.6173286,0
74,TRIHEXYPHENIDYL,,0,ORAL,0,0,3.7,0,0,0,NaN,0,NaN,301.474,4.3305,91.8218,22,270.226,1,2,2,1,2,5,122,23.47,0.7,135.0829978,0
75,PARAMETHADIONE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,157.169,0.7637,37.947,11,146.081,0,4,3,0,4,1,62,46.61,0.714285714,65.11949566,2
76,AMINOSALICYLIC ACID,78,0,ORAL,51.8,9.42,3.25,55,0,130.7,MICROMOLAR,6,NaN,152.129,-0.6621,36.8497,11,146.081,3,4,4,3,4,1,58,86.38,0,62.88622554,0
77,CHLORPHENIRAMINE,,0,ORAL INJECTION,214.5,9.75,24,30,0,26.2,NANOMOLAR,3.5,NaN,274.795,3.8186,80.703,19,255.643,0,2,2,0,3,5,100,16.13,0.3125,119.5959558,0
78,PHENYL AMINOSALICYLATE,,76,ORAL,0,0,0,0,0,0,NaN,0,NaN,229.235,2.1936,63.9197,17,218.147,3,4,4,3,4,2,86,72.55,0,98.26263122,0
79,DEXCHLORPHENIRAMINE,,0,ORAL INJECTION,214.5,9.75,24,30,0,26.2,NANOMOLAR,3.5,NaN,274.795,3.8186,80.703,19,255.643,0,2,2,0,3,5,100,16.13,0.3125,119.5959558,0
80,CROTAMITON,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,203.285,2.92402,64.02,15,186.149,0,2,1,0,2,3,80,20.31,0.307692308,91.21775066,1
81,SULFASALAZINE,,1  1399,ORAL,7.5,1,7.6,99.3,15,15,MICROMOLAR,6,NaN,397.392,0.4655,99.7822,28,384.288,2,9,8,2,10,6,142,140.65,0,159.7209396,0
82,CORTISONE ACETATE,,1771,INJECTION ORAL,,0,0,0,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,402.487,2.5606,103.6898,29,372.247,1,6,6,1,6,3,158,97.74,0.739130435,170.6089173,0
83,PROCAINAMIDE,,0,ORAL INJECTION,130,39,3.1,17.5,0,0,NaN,0,NaN,235.331,1.3404,70.9756,17,214.163,3,4,3,3,4,6,94,58.36,0.461538462,102.7971066,1
84,ASPIRIN,,1770,ORAL,10,27.7,0.25,32,0,1.77,MICROMOLAR,0,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,179.151,-0.0246,42.0815,13,172.095,0,4,4,0,4,2,68,66.43,0.111111111,74.75705264,0
85,OXYCODONE,,0,ORAL,169,48,4.5,45,73.5,312.7,NANOMOLAR,2.1,SOLUBILITY IN WATER 1 GRAM / 6 MILLILITER,315.369,1.0482,83.0178,23,294.201,1,5,5,1,5,1,122,59,0.611111111,134.7300639,0
86,SECOBARBITAL,,0,INJECTION ORAL RECTAL,97.5,0,28,50,90,0,NaN,3,SOLUBILITY VERY SOLUBLE IN WATER,238.287,1.3511,63.0004,17,220.143,2,5,3,2,5,5,94,75.27,0.583333333,100.6424708,4
87,DICYCLOMINE,,0,ORAL INJECTION,237,91.2,1.8,0,0,0,NaN,1.25,SOLUBILITY SOLUBLE IN WATER,309.494,4.4022,90.84,22,274.214,0,3,3,0,3,7,128,29.54,0.947368421,136.3314478,0
88,METHIMAZOLE,,0,ORAL,136,4.6,5.4,0,0,1.3,MICROMOLAR,0.9,SOLUBILITY FREELY SOLUBLE IN WATER,114.173,1.08269,30.5977,7,108.125,1,2,2,1,3,0,38,20.72,0.25,46.79390537,0
89,QUINIDINE,,0,INJECTION ORAL,162.5,15.6,7,84,70,0,NaN,2,SOLUBILITY SPARINGLY SOLUBLE IN WATER,324.424,3.1732,95.0268,24,300.232,1,4,4,1,4,4,126,45.59,0.45,142.3134262,0
90,THIAMYLAL,,0,INJECTION,237,17.5,9.3,17.5,0,0,NaN,0,NaN,254.355,1.9273,70.8897,17,236.211,1,4,2,1,5,5,94,58.53,0.583333333,106.9814756,2
91,THIAMYLAL,,0,INJECTION,169,9.7,12,11.7,0,0,NaN,0,NaN,254.355,1.9273,70.8897,17,236.211,1,4,2,1,5,5,94,58.53,0.583333333,106.9814756,2
92,PHENACEMIDE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,178.191,0.424,47.8721,13,168.111,3,4,2,3,4,2,68,72.19,0.111111111,75.73902654,3
93,DYPHYLLINE,,0,ORAL INJECTION,27.3,18.7,2,0,0,67,MICROMOLAR,0,SOLUBILITY FREELY SOLUBLE IN WATER,254.246,-2.2131,63.3076,18,240.134,2,8,8,2,8,3,98,102.28,0.5,101.3473088,0
94,GALLAMINE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,423.642,3.8484,126.291,30,378.282,0,6,6,0,6,18,174,37.41,0.75,184.6204979,0
95,DISULFIRAM,,0,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,296.552,3.6212,86.22,16,276.392,0,2,4,0,6,4,94,6.48,0.8,117.90714,0
96,PROBENECID,,0,ORAL,8.4,0.97,5.9,97,0,0,NaN,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,284.357,0.8608,70.1133,19,266.213,0,5,4,0,6,7,106,77.51,0.461538462,113.4623633,0
97,PROMETHAZINE,,0,ORAL INJECTION RECTAL,910,54,14,91,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,284.428,4.2394,87.162,20,264.268,0,2,3,0,3,3,104,6.48,0.294117647,124.9501541,0
98,PHENYLEPHRINE,,0,OPHTHALMIC ORAL INHALATION INTRAVENOUS IRRIGATION,340,2,1.35,0,0,5.2,MILLIMOLAR,0.76,NaN,167.208,0.645,46.9933,12,154.104,3,3,3,3,3,3,66,52.49,0.333333333,71.66455915,0
99,HEXYLCAINE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,261.365,3.1542,76.1952,19,238.181,1,3,3,1,3,5,104,38.33,0.5625,114.8999226,0
100,PYRILAMINE,,0,OPHTHALMIC ORAL,0,0,0,0,0,0,NaN,0,NaN,285.391,2.6584,86.835,21,262.207,0,4,4,0,4,7,112,28.6,0.352941176,126.5310106,0
101,EDROPHONIUM,,0,INJECTION,71.5,37.4,1.8,0,0,0,NaN,0,NaN,166.244,1.979,52.2898,12,150.116,1,2,1,1,2,2,66,20.23,0.4,73.65521049,0
102,BROMODIPHENHYDRAMINE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,334.257,4.1167,86.933,20,314.097,0,2,2,0,3,6,106,12.47,0.294117647,129.0541344,0
103,METHOTREXATE,,0,ORAL INJECTION SUBCUTANEOUS INTRAVENOUS,39,8.2,7.5,50,60,2.3,MICROMOLAR,1.5,NaN,452.431,-2.401,113.004,33,432.271,5,13,12,5,13,9,172,216.2,0.25,187.0308017,1
104,CHLOROTRIANISENE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,380.871,5.8678,110.751,27,359.703,0,3,3,0,4,6,138,27.69,0.130434783,164.324601,0
105,LEUCOVORIN,,33,INJECTION ORAL,16.2,22.6,1.3,91,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,471.43,-3.4005,115.5247,34,450.262,6,14,11,6,14,10,180,225.5,0.3,191.7167722,2
106,DIPHEMANIL,,0,ORAL,0,0,8.35,0,0,0,NaN,3,NaN,278.419,4.3587,89.9824,21,254.227,0,1,0,0,1,2,108,0,0.3,127.6824052,0
107,MONOBENZONE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,200.237,2.9712,58.8808,15,188.141,1,2,2,1,2,3,76,29.46,0.076923077,88.76121842,0
108,HYDROCORTISONE,109  110  111  191  1327  1328,0,ORAL TOPICAL VAGINAL INJECTION OTIC RECTAL OPHTHALMIC,24.7,22.2,1.6,80,0,0,NaN,0,NaN,362.466,1.7816,95.1424,26,332.226,3,5,5,3,5,2,144,94.83,0.80952381,154.0309111,0
109,HYDROCORTISONE ACETATE,,108,TOPICAL INJECTION OPHTHALMIC OTIC RECTAL,0,0,0,0,0,0,NaN,0,NaN,404.503,2.3524,104.6896,29,372.247,2,6,6,2,6,3,160,100.9,0.782608696,171.2416289,0
110,HYDROCORTISONE VALERATE,,108,TOPICAL,0,0,0,0,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,446.584,3.5227,118.5406,32,408.28,2,6,6,2,6,6,178,100.9,0.807692308,190.3364553,0
111,HYDROCORTISONE BUTYRATE,,108,TOPICAL,0,0,0,0,0,0,NaN,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,432.557,3.1326,113.9236,31,396.269,2,6,6,2,6,5,172,100.9,0.8,183.9715132,0
112,MEPHENTERMINE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,163.264,2.2271,53.2847,12,146.128,1,1,1,1,1,3,66,12.03,0.454545455,74.80597588,0
113,HYDRALAZINE,,0,ORAL INJECTION,143,331.5,1,88,18,583,NANOMOLAR,2.5,SOLUBILITY SOLUBLE IN WATER,160.18,0.9154,47.3481,12,152.116,3,4,4,3,4,1,60,63.83,0,69.38070608,0
114,CODEINE,,0,ORAL,292.5,58.5,2.9,16,0,662.2,NANOMOLAR,1,SOLUBILITY SOLUBLE IN WATER,299.37,1.5011,82.4638,22,278.202,1,4,4,1,4,1,116,41.93,0.555555556,129.8789387,0
115,PHENYLBUTAZONE,,0,ORAL,10,1.36,79,98.5,0,138,MICROMOLAR,3,NaN,308.381,3.7878,90.871,23,288.221,0,4,2,0,4,5,118,40.62,0.263157895,135.8501085,2
116,METHARBITAL,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,198.222,0.501,49.3237,14,184.11,1,5,3,1,5,2,78,66.48,0.666666667,82.44721894,4
117,ISONIAZID,,0,ORAL INJECTION,53.3,24.02,2.8,0,100,22.5,MICROMOLAR,1.5,SOLUBILITY FREELY SOLUBLE IN WATER,137.142,-0.3149,35.8906,10,130.086,3,4,3,3,4,1,52,68.01,0,58.03740422,1
118,SUCCINYLCHOLINE,,0,INJECTION INTRAMUSCULAR INTRAVENOUS,0.14,250.2,0.07,0,0,0,NaN,0,SOLUBILITY VERY SOLUBLE IN WATER,290.404,0.2654,76.9508,20,260.164,0,6,4,0,6,9,118,52.6,0.857142857,121.9732435,0
119,HEXYLCAINE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,NaN,261.365,3.1542,76.1952,19,238.181,1,3,3,1,3,5,104,38.33,0.5625,114.8999226,0
120,SULFAMETHIZOLE,,0,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,270.339,1.22952,66.3089,17,260.259,3,6,6,3,8,3,90,97.97,0.111111111,102.552081,0
